,,,,,,,
Date:,Fri 16 Jun 2023 04:58:26 PM PDT,,,,,,
Tool:,Eeschema 7.0.5-4d25ed1034~172~ubuntu22.04.1,,,,,,
Generator:,/usr/share/kicad/plugins/bom_csv_grouped_by_value.py,,,,,,
Component Count:,87,,,,,,
,,,,,,,
Collated Components:,,,,,,,
,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,DNP
1,24,"C1, C2, C3, C4, C5, C6, C7, C8, C11, C12, C13, C16, C17, C18, C19, C20, C22, C23, C24, C25, C26, C27, C28, C29",100nF,ataradov_rlc:C,ataradov_smd:0603,,
2,2,"C9, C10",1uF,ataradov_rlc:C,ataradov_smd:0603,,
3,4,"C14, C15, C30, C31",2.2uF,ataradov_rlc:C,ataradov_smd:0603,,
4,1,C21,10uF,ataradov_rlc:C,ataradov_smd:0603,,
5,1,D1,BAT54S,ataradov_semi:BAT54S,ataradov_ic:SOT-23,,
6,1,IC1,LCMXO2-2000HC-5TG100,ataradov_pld:LCMXO2-100,ataradov_ic:TQFP-100-0.5mm,,
7,1,IC2,MIC5504-3.3v,ataradov_vreg:MIC5504,ataradov_ic:SOT-23-5,,
8,3,"IC3, IC5, IC7",MAX9032AKA+T,ataradov_ic:Comp-Dual,ataradov_ic:SOT-23-8,,
9,1,IC4,USB3343,ataradov_ic:USB3343,ataradov_ic:QFN-24-0.5mm,,
10,1,IC6,DSC6101CI2A-026.0000,ataradov_crystal:DSC61XX-MHz,ataradov_ic:CDFN-4-3.2x2.5mm,,
11,1,IC8,24LC128,ataradov_ic:I2C-EEPROM,ataradov_ic:SO-8,,
12,1,IC9,CY7C68013A-56PVXC,ataradov_mcu:CY7C68013A-56PVXC,ataradov_ic:SSOP-56-0.635mm,,
13,1,IC10,DSC6101CI2A-024.0000,ataradov_crystal:DSC61XX-MHz,ataradov_ic:CDFN-4-3.2x2.5mm,,
14,2,"J1, J2",USB-C,ataradov_conn:USB-C,ataradov_conn:USB-C,,
15,1,J3,USB-A,ataradov_conn:USB-A,ataradov_conn:USB-A-Slots,,
16,1,J4,IN,ataradov_conn:Conn-Single,ataradov_conn:Pin-2.54mm,,
17,1,J5,GND,ataradov_conn:Conn-Single,ataradov_conn:Pin-2.54mm,,
18,1,LED1,Green,ataradov_led:LED,ataradov_smd:0603,,
19,4,"LED2, LED3, LED4, LED5",Orange,ataradov_led:LED,ataradov_smd:0603,,
20,1,LED7,Yellow,ataradov_led:LED,ataradov_smd:0603,,
21,1,Logo1,Logo,ataradov_misc:Logo,ataradov_misc:Logo-Small,,
22,4,"R1, R2, R4, R5",5.1K,ataradov_rlc:R,ataradov_smd:0603,,
23,7,"R3, R7, R12, R13, R18, R19, R21",10K,ataradov_rlc:R,ataradov_smd:0603,,
24,1,R6,510,ataradov_rlc:R,ataradov_smd:0603,,
25,1,R10,20K,ataradov_rlc:R,ataradov_smd:0603,,
26,1,R11,8.06K,ataradov_rlc:R,ataradov_smd:0603,,
27,1,R14,33K,ataradov_rlc:R,ataradov_smd:0603,,
28,2,"R15, R16",4.7K,ataradov_rlc:R,ataradov_smd:0603,,
29,2,"R17, R20",100,ataradov_rlc:R,ataradov_smd:0603,,
30,2,"RN1, RN2",2.2K,ataradov_rlc:RN-4,ataradov_smd:0603x4,,
31,8,"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8",,ataradov_misc:TestPoint,ataradov_misc:TestPoint-1.27mm-Small,,
32,1,TP9,VCC,ataradov_misc:TestPoint,ataradov_misc:TestPoint-1.27mm,,
33,1,TP10,BOOT,ataradov_misc:TestPoint,ataradov_misc:TestPoint-1.27mm,,
34,1,TP11,RESET,ataradov_misc:TestPoint,ataradov_misc:TestPoint-1.27mm,,
35,1,TP12,GND,ataradov_misc:TestPoint,ataradov_misc:TestPoint-1.27mm,,
